dataset,n_obs,n_clusters,seed,variant,encoder,view_mode,sampling,weights,elapsed_sec,wall_sec,peak_memory_mib,ARI,NMI,AMI,FMI
hln_A1,3484,10,202,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.272282838821411,9.422013521194458,57.6083984375,0.16100312549842874,0.3015547033167117,0.2970375564026968,0.31896050247523483
hln_A1,3484,10,202,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",5.464110612869263,5.583253383636475,42.751953125,0.18387535828671064,0.3079113736544308,0.3032886838142352,0.34976068636691054
hln_A1,3484,10,202,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.1088204383850098,2.226076126098633,338.12890625,0.19007424760759142,0.3140600470231264,0.3095274973583119,0.3523593127575583
hln_A1,3484,10,202,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.122472524642944,5.23654842376709,42.6376953125,0.19592440678915043,0.33013033423796406,0.3257553894501426,0.35280208629485266
hln_A1,3484,10,202,ADT_only,GAT,view_specific,cluster,"(1.0,)",5.363822937011719,5.475317001342773,42.6376953125,0.1385487817101767,0.24934177022300386,0.24448591467667785,0.29781919610411817
hln_A1,3484,10,202,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",5.378641366958618,5.48615288734436,23.0625,0.19017675071439025,0.3194007235702101,0.31492302927475213,0.34841157391945177
hln_A1,3484,10,202,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",6.90836238861084,7.012205600738525,21.81103515625,0.14170175503227186,0.295504367977371,0.2911369407173695,0.28596452643731424
hln_A1,3484,10,303,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",10.252165079116821,10.421074390411377,57.82080078125,0.19847829202383166,0.3289949600268308,0.3245874310432947,0.3542080487027135
hln_A1,3484,10,303,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.121392726898193,9.320964574813843,57.82080078125,0.20021642874847717,0.3329793454879817,0.3286122005458958,0.3547948683092865
hln_A1,3484,10,303,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",5.791594743728638,5.909300327301025,42.75537109375,0.18764651240196512,0.29140504412308926,0.28667192444046735,0.35125620411682446
hln_A1,3484,10,303,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.208317518234253,2.3356783390045166,338.12890625,0.18708520360566808,0.3211407645493549,0.3165794814620943,0.3537536681126032
hln_A1,3484,10,303,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.47629451751709,5.605570316314697,42.63232421875,0.18651954956679417,0.32684787098322987,0.3224673169068242,0.3407798309887808
hln_A1,3484,10,303,ADT_only,GAT,view_specific,cluster,"(1.0,)",5.6100242137908936,5.725343942642212,42.63232421875,0.12574812674935928,0.2770550792145636,0.27239887476791474,0.28568570996015047
hln_A1,3484,10,303,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",6.2493860721588135,6.363415956497192,23.07421875,0.17776931329358,0.30168934634472044,0.2971621538600275,0.3332667516549294
hln_A1,3484,10,303,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",7.583109378814697,7.692668676376343,21.81396484375,0.1744749052452799,0.32736382322679036,0.3231628580666967,0.3179231071630153
hln_D1,3349,10,101,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",9.90786600112915,10.06394338607788,55.005859375,0.18235208162380478,0.282446730743194,0.2774892599399018,0.3529460230744614
hln_D1,3349,10,101,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.044811010360718,9.21167540550232,55.005859375,0.1832496478767192,0.2838842269936427,0.2789380108018115,0.3536878530643927
hln_D1,3349,10,101,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",5.793613910675049,5.907878160476685,40.498046875,0.14779430832533494,0.25570512721771826,0.2506606947960371,0.31645207282280574
hln_D1,3349,10,101,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",1.922717809677124,2.045572280883789,324.99169921875,0.1713796685380748,0.27686672030198634,0.271961728399789,0.3388504192801118
hln_D1,3349,10,101,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.658472061157227,5.794883966445923,40.3935546875,0.14905355593515623,0.25655777273095814,0.25159308731156343,0.31383490252924406
hln_D1,3349,10,101,ADT_only,GAT,view_specific,cluster,"(1.0,)",6.453768014907837,6.579970836639404,40.3935546875,0.21383554665207363,0.30303788795557307,0.2981670734275121,0.3824227325846852
hln_D1,3349,10,101,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",5.5101141929626465,5.620126724243164,22.79150390625,0.1916499187550508,0.31184409555223885,0.30715547829682466,0.35735850443897976
hln_D1,3349,10,101,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",6.664400339126587,6.762539863586426,21.59521484375,0.1443635503338277,0.28805644749251735,0.2834003300327481,0.3031107008837778
hln_D1,3349,10,202,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",9.500052690505981,9.68049430847168,56.6416015625,0.18722713637678332,0.2988089460186439,0.2940439128267958,0.35154288326131
hln_D1,3349,10,202,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.498459339141846,9.670821189880371,56.6416015625,0.18579288517660508,0.2974539495293938,0.2926782494925624,0.35043617415433115
hln_D1,3349,10,202,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",5.561890125274658,5.6864728927612305,40.43359375,0.23372058598481132,0.3207708080421835,0.31593911200693436,0.40323313107133313
hln_D1,3349,10,202,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2873177528381348,2.405578851699829,324.99169921875,0.16652077777551508,0.27881520102602486,0.273931018726036,0.33239901571922964
